code,name,retryable,subsystem,description
1,NonCanonical,no,encoding,"object or header is not the deterministic RFC 8949 §4.2.1 encoding (non-minimal, indefinite-length, unsorted or duplicate keys, a float, or the 0x41A0 empty header)"
2,DepthExceeded,no,encoding,"CBOR nesting depth exceeds the maximum (§3.4)"
3,Malformed,no,object,"structurally malformed object or COSE structure (the generic fallback rejection)"
4,ContentIdMismatch,no,object,"the recomputed content id does not equal the carried content id (§2.3)"
5,HeaderBodyMismatch,no,object,"a protected-header routing copy disagrees with the signed body (§2.6)"
6,UnsupportedVersion,no,object,"the protected-header naalp-version is not supported (§2.5.3)"
7,UnknownCriticalExt,no,object,"a critical-extension (cext) key is not understood (§2.5)"
8,UnknownKind,no,object,"the channel/kind code is not a registered surface (§3.2)"
9,RangeError,no,object,"a field value is outside its permitted range"
10,NonNFC,no,object,"a text field is not in Unicode Normalization Form C (§3.1)"
11,WrongAudience,no,object,"the signed audience is not the verifying party (§2.5.3, R1)"
12,TooLarge,no,bounds,"the object exceeds the maximum octet size (§3.4)"
13,TooManyCauses,no,bounds,"causes[] exceeds the maximum count (§3.4)"
14,TooManyExtensions,no,bounds,"the ext or cext map exceeds the maximum cardinality (§3.4)"
15,TooManyChunks,no,bounds,"a stream presents more chunks than the maximum (§3.4, §10)"
16,UnknownAlg,no,crypto,"the algorithm id is not in the N-AALP signature registry (§4)"
17,KeyAlgMismatch,no,crypto,"the key algorithm does not match the object header (§4.5)"
18,ProfileDowngrade,no,crypto,"the signature level is below the profile minimum (§4.5)"
19,HybridIncomplete,no,crypto,"a hybrid/composite object has a component signature that does not verify (§4.5)"
20,SuiteMismatch,no,crypto,"the signed suite declaration disagrees with the signature alg or structure (§4.5)"
21,CompositeRefused,no,crypto,"a Sovereign verifier refuses a composite (non-pure) object (§4.5)"
22,BadSignature,no,crypto,"signature verification failed (§4)"
23,SignerMismatch,no,identity,"the recomputed signer id does not equal the key, or a revocation signer is neither the key nor a configured recovery key (§5.1, §5.3, §5.5)"
24,RotationUnauthorized,no,identity,"a rotation object is not co-signed by both the old and new keys, or is presented as a single-signature object (§5.2)"
25,KeyRevoked,no,identity,"the signing key is revoked as of the object's authoritative receipt position (§5.3)"
26,EffectNotAuthorized,no,effect,"the declared effect is not authorized for the principal (§6)"
27,UnauthenticatedPrincipal,no,effect,"a self-asserted principal was not authenticated by the transport (§6.5, R1.3)"
28,MalformedSafetyLabel,no,effect,"the optional ext safety-label is structurally malformed (§6.4)"
29,ApprovalRequired,no,approval,"an effecting object requires an approval and none was presented (§7)"
30,ApprovalMismatch,no,approval,"the presented approval does not bind the object (§7)"
31,ApprovalExpired,no,approval,"the approval's validity window has passed (§7)"
32,AlreadyConsumed,no,approval,"a consume-once object was already consumed (§7)"
33,ConsumeFork,no,approval,"two consume receipts fork the single-consume ledger (§7)"
34,ConsumeForkInvalid,no,approval,"a presented consume-fork proof is not a valid fork (§7)"
35,ConsumeReceiptUnsigned,no,approval,"a consume receipt is not signed (§7)"
36,LedgerCorrupt,no,approval,"the consume ledger is structurally corrupt (§7)"
37,LedgerUnsigned,no,approval,"a consume-ledger record is not signed (§7)"
38,AudienceMismatch,no,approval,"a consume receipt's audience does not match the object (§7)"
39,FreshnessSelfAsserted,no,approval,"an approval's freshness is only self-asserted, not independently anchored (§7, R-TDCS-4)"
40,UnknownRefusalOutcome,no,refusal,"a coarse-refusal object carries an unknown outcome value (R-TDCS-3)"
41,RefusalDetailLeak,no,refusal,"a coarse-refusal object discloses detail beyond the coarse vocabulary (R-TDCS-3)"
42,ChainBroken,no,audit,"an audit or hash-chain link does not verify (§8)"
