channel_id,channel_name,kind_code,kind_name,effect,variable_effect
0x0000,Control,0,Hello,read_only,false
0x0000,Control,1,Bye,idempotent_write,false
0x0000,Control,2,Ack,read_only,false
0x0000,Control,3,Error,read_only,false
0x0001,Memory,0,MemoryOffer,idempotent_write,false
0x0001,Memory,1,MemoryAccept,idempotent_write,false
0x0001,Memory,2,MemoryWrite,non_idempotent_write,false
0x0001,Memory,3,MemoryRead,read_only,false
0x0001,Memory,4,MemoryExpire,destructive,false
0x0001,Memory,5,MemoryRevoke,destructive,false
0x0002,Capability,0,CapIssue,non_idempotent_write,false
0x0002,Capability,1,CapDelegate,non_idempotent_write,false
0x0002,Capability,2,CapRevoke,destructive,false
0x0002,Capability,3,CapLookup,read_only,false
0x0003,Identity,0,Rotation,non_idempotent_write,false
0x0003,Identity,1,Revocation,destructive,false
0x0003,Identity,2,ForeignLink,idempotent_write,false
0x0003,Identity,3,KeyAnnounce,read_only,false
0x0004,Governance,0,PolicyPublish,non_idempotent_write,false
0x0004,Governance,1,Approval,non_idempotent_write,false
0x0004,Governance,2,ApprovalHeld,read_only,false
0x0004,Governance,3,Consume,non_idempotent_write,false
0x0005,Immune,0,AnomalyReport,read_only,false
0x0005,Immune,1,Quarantine,destructive,false
0x0005,Immune,2,QuarantineLift,non_idempotent_write,false
0x0006,Federation,0,AuthorityAnnounce,read_only,false
0x0006,Federation,1,ScopeReceipt,non_idempotent_write,false
0x0007,Settlement,0,SettleIntent,non_idempotent_write,false
0x0007,Settlement,1,SettleReceipt,non_idempotent_write,false
0x0007,Settlement,2,SettleReject,idempotent_write,false
0x0008,Compliance,0,ComplianceRecord,non_idempotent_write,false
0x0008,Compliance,1,ComplianceQuery,read_only,false
0x0008,Compliance,2,ComplianceReport,read_only,false
0x0009,Sensory,0,Observation,read_only,false
0x0009,Sensory,1,Subscribe,idempotent_write,false
0x0009,Sensory,2,Unsubscribe,idempotent_write,false
0x000A,Telemetry,0,Metric,read_only,false
0x000A,Telemetry,1,HealthReport,read_only,false
0x000B,Audit,0,Receipt,non_idempotent_write,false
0x000B,Audit,1,AuditQuery,read_only,false
0x000B,Audit,2,ForkProof,read_only,false
0x000C,Stream,0,StreamOpen,variable,true
0x000C,Stream,1,StreamCommit,read_only,false
0x000C,Stream,2,StreamCheckpoint,read_only,false
0x000D,Bridge,0,Carriage,variable,true
0x000E,Commerce,0,Offer,read_only,false
0x000E,Commerce,1,Order,non_idempotent_write,false
0x000E,Commerce,2,Fulfil,non_idempotent_write,false
0x000E,Commerce,3,Cancel,destructive,false
0x000F,Interaction,0,Elicit,read_only,false
0x000F,Interaction,1,Respond,idempotent_write,false
0x000F,Interaction,2,Confirm,non_idempotent_write,false
0x0010,Discovery,0,DiscoveryRecord,read_only,false
0x0010,Discovery,1,DiscoveryQuery,read_only,false
0x0011,Workflow,0,TaskCreate,non_idempotent_write,false
0x0011,Workflow,1,TaskInput,non_idempotent_write,false
0x0011,Workflow,2,TaskCancel,destructive,false
0x0011,Workflow,3,TaskResult,non_idempotent_write,false
0x0012,Knowledge,0,Assert,non_idempotent_write,false
0x0012,Knowledge,1,Retract,destructive,false
0x0012,Knowledge,2,KnowledgeQuery,read_only,false
0x0013,Spatial,0,FrameDefine,idempotent_write,false
0x0013,Spatial,1,Pose,read_only,false
0x0013,Spatial,2,StateUpdate,read_only,false
0x0013,Spatial,3,SnapshotQuery,read_only,false
